,start,end,text,labels
23652,15016,15424,hence merely initiation proceeding commission offence mmdr act basis complaint shall debar police taking action persons committing theft sand minerals manner mentioned exercising power code criminal procedure submit report magistrate taking cognizance persons,analysis
25286,18138,18204,pw far written complaint narrated incident,analysis
22386,11632,11756,true shotgun shells cartridge cases pistols revolvers rifles,analysis
6244,30846,30952,contrary positive evidence amount received biswanath january,analysis
4787,1262,1631,court referred decisions sheo nandan paswan v state bihar peoples union civil liberties delhi v central bureau investigation others state kerala v vijayakumar rajender kumar jain v state bihar came hold consent withdraw prosecution would jeopardize public interest public policy,analysis
7967,14802,15044,must forgotten section income tax act right independently conduct parties direct tribunal state facts may properly exercise advisory jurisdiction,analysis
4833,11177,11351,decisions well decisions question law clear withdrawal prosecution allowed interest justice,analysis
13165,16692,16765,main plank revenue 's case court therefore fails,analysis
9622,17685,17774,therefore construe sub section existed without explanation,analysis
328,31849,32200,though mention complaint overt acts accused evidence eye witnesses sufficient hold nine accused namely nos pursuance common object instigation accused mallawwa killed ratnavva siddalingappa nagappa mallappa within half hour,analysis
7609,35151,35288,expressed satisfaction violation provisions k l r act special court right forum prosecution,analysis
260,19032,20014,iv p w pundalik bhimappa wadeyar inquest mahazar witness regard deceased nagappa v p w raju nesargi seizure mahazar witness regarding seizure motor cycle instance accused accused regarding seizure axe instance accused two longs instance accused vi p ws p ws police personnel assisted investing officers investigation vii viii p w ganapati psi ix registered case crime x nesargi police station submitted fir ex p p w sharanappa p w sonia narang investigating officers p w dr pushpa h r lady medical officer conducted autopsy deceased ratnavva p w dr hottigimatt medical officer conducted autopsy three deceased persons namely siddalingappa nagappa mallappa,analysis
9610,15632,15762,unless definition entertainment includes hospitality ordinary meaning entertainment include hospitality,analysis
2639,5287,5434,section evidence act deals cases statement relevant fact person dead found etc relevant,analysis
10695,26745,26788,convicts nighbour vicim,analysis
23859,5029,5252,p w excise constable accompanied si excise patrolling duty deposed patrolling duty detected accused person going road holding plastic jerry cane hand,analysis
10862,21342,21439,justified make third case entering domain speculation,analysis
25287,18205,18255,would like discuss evidence little later,analysis
5480,20148,20409,heads described elaborated pur pose computation income ss aa b intended merely indicate classes income heads exhaustively delimit sources income arises,analysis
19774,25382,25476,conviction sentence death penalty set aside want assistance counsel,analysis
820,22052,22085,course enough,analysis
10596,11692,11900,prosecution examined medical officer p w stated evidence police requisition examined victim gita badaik w bijay badaik found following injuries,analysis
4285,19633,19667,black particles seen inside human,analysis
20306,26616,26750,agree proposition appellant estopped challenging constitutionality vires sub rule,analysis
25298,19384,19463,pw dharmappa talawar fact also deposed effect pw,analysis
14542,8541,8694,clear contentions paragraph deceased mahant would substantiate property belonged rd defendant,analysis
22608,17729,17883,case dw appear cross examination subjected cross examination hence part evidence dw expunged,analysis
22665,26165,26311,perusal clearly shows defendant purchased item suit schedule property valuable consideration,analysis
15989,17111,17471,following details respect appellant 's period study school also affirmed mrs kalra affidavit admissio date date reasons n admission striking striking name nonpayment class vi class school funds vii,analysis
2877,17130,17207,requirement saaso staff officer aoc c,analysis
15432,16937,17028,present case film rolls thickness varying mm mm,analysis
18742,4642,4769,eye witnesses occurrence p w gopi nath sarma p w danesh ali p w nur mohammad p w kurpan ali,analysis
12549,9794,10009,order standing order viii may attracted appellant able show disorderly riotous behaviour rational connection employment assailant victim,analysis
15689,9442,9636,fact moved sessions judge quantum maintenance could used respect right revision sessions judge 's order,analysis
17575,27008,27057,asked dr garud given treatment,analysis
9894,15177,15342,noted evidence prosecutrix pw absolutely vague regards two alleged acts forcible sexual intercourse inflicted appellant,analysis
8005,22274,22475,tribunal make fresh enquiry leading admission fresh evidence record direction offends ruling court jehangir vakil mills case,analysis
27931,9215,9425,among first set witnesses pw victim evidence stated date incident evening ' clock returned home saw accused near house,analysis
27985,16597,16845,contrary said witness shalini evidence apart stating alleged incident taken place categorically specifically stated night incident father e pw house,analysis
19114,17138,17485,insofar memory witnesses concerned due limited development limited population rural side people therein tendency familiarity also identify land garden particular name even persons refer status avocation know remember names,analysis
1289,26116,26211,defendant os filed suit plaintiff os,analysis
25101,21437,21484,accordingly dismissed revenue 's appeals,analysis
16679,25387,25469,statement generally true context urban also rural society,analysis
18588,11979,12118,services rendered agreed rendered outside india rendered india shall include services rendered india,analysis
9631,19427,19531,amongst decisions favour revenue brij raman dass sons vs commissioner income tax,analysis
1603,16790,16950,context question arises whether tpo could suo motu examined transaction made transfer pricing adjustment order,analysis
1619,20562,21275,date specified notice sub section soon thereafter may hearing evidence assessee may produce including information documents referred sub section section considering evidence transfer pricing officer may require specified points taking account relevant materials gathered transfer pricing officer shall order writing determine arm 's length price relation international transaction specified domestic transaction accordance sub section section c send copy order assessing officer assessee,analysis
6365,4227,4427,prove offence u bihar orissa excise act bounden duty prosecution establish seizure exclusive conscious possession accused,analysis
12866,10402,10575,version mst rajji stated ram prasad quarrel settled implying thereby set fire thus terminated quarrel,analysis
2249,7520,7526,pw,analysis
24911,3256,3416,outset noted p w independent witness examined behalf prosecution support case prosecution,analysis
2255,7741,7800,ramesha son deceased shivamma hear say witness,analysis
25618,36043,36324,even regard accused also basis evidence pw absence corroboration independent witnesses difficult court come conclusion identity accused established satisfaction court,analysis
28826,9058,9114,respondents giving share husband,analysis
23848,4016,4131,patrolling duty found accused going road holding white plastic jerry cane hand,analysis
15438,18310,18523,pointed bombay high court basis evidence understanding particular trade metallised polyester films referred 'films ',analysis
15231,2966,3400,purposes heading expression 'similar laminated wood ' includes block board laminated board batten board core thick composed blocks laths battens wood glued together surfaced outer plies also panels wooden core replaced materials layer layers particle board fibre board wood waste glued together asbestos cork,analysis
28709,14311,14932,undoubtedly correct legal position observed state madras v gannon dunkerley co madras ltd accordingly question arises whether particular works contract could charged sales tax authorities act determine whether agreement question true construction combination agreement sell agreement work come conclusion character open pro ceed part contract sale goods impose tax thereon,analysis
23329,12996,13023,came constitution,analysis
7607,34871,34967,indication application mind offence alleged acts amount,analysis
28157,9606,9861,next question would whether prosecution proved beyond reasonable doubt present appellants accused nos members unlawful assembly committed said murder deceased dinesh ?,analysis
20595,27135,27227,hence case u p c appears made accused persons,analysis
1390,9980,10208,experience shows demand dowry mode recovery takes different forms achieve result various indirect sophisticated methods used 'avoid leaving evidence offence,analysis
4917,6452,6620,find difficult accept highly contested matter like appellant would instructed counsel press claim maintenance,analysis
17520,22078,22119,police showed dead body usha,analysis
24480,25639,25711,admittedly pw appellant belong village,analysis
18967,7976,8084,must say story put forward third respondent incredulous say least,analysis
2903,21407,21533,pw corporal singh categorically stated loading barrels containing pol behest corporal g mani,analysis
10580,8825,9020,p w stated sister law 's house e p w geeta badaik drinking water saw accused santanu assaulting p w,analysis
17811,24539,24799,must something assessment order show income tax officer applied ms mind particular subject matter particular source income view taxability non taxability incidental connection,analysis
1573,10907,10947,adjustment rs,analysis
5590,6801,7050,dispute earlier court considered bail application filed petitioner accused criminal petition subsequently criminal petition dated respectively,analysis
22609,17885,17945,case defendants got examined one witness dw,analysis
22983,9241,9327,spot incident shown spot panchanama foot path feet width,analysis
22669,26967,27144,hence absence cogent evidence said item suit schedule property purchased name defendant joint family funds,analysis
1220,15096,15170,stated mother dw wife maraiah sisters,analysis
28502,4415,4614,even statement vandna pw recording statement section crpc exh reference made conspiracy hatched devi lal accused appellant,analysis
13681,29638,29889,pertinent note aforesaid suit defendant herein filed one affidavit way examinationinchief said date first time stated dated relied,analysis
24449,20792,21001,circumstances proved case consistent innocence accused chain continuity circumstances broken accused entitled benefit doubt,analysis
15305,20584,20645,blockboard plywood board core wooden strips,analysis
19143,22758,22852,time accused preferred appeal judgment sc,analysis
2320,17508,17892,pw specifically stated property dispute accused assaulted shivamma repees patti wooden plank pw present time incident took aravinda hospital thereafter pw took nimhans hospital came know death shivamma phone brother,analysis
17156,14512,14808,genealogical tree submitted plaintiff dt genuine give complete picture existing members joint family headed prepositus mahanthappa disclose fact giving plaintiff adoption one smt girijamma,analysis
14560,10768,10920,procedure attachment considered defendant kept away colluding self styled mahant non existing rd defendant,analysis
10947,11370,11882,purpose tax effect ' means difference tax total income assessed tax would chargeable total income reduced amount income respect issues commissioner income tax anr vs luwa india pvt ltd appeal intended filed hereinafter referred disputed issues ',analysis
6302,5136,5366,scientific officer dfsl rourkela also examined prosecution due neither fir chemical examination report given scientific officer dfsl rourkela could proved case,analysis
13674,28624,28711,case setup defendants clearly forthcoming para ex p,analysis
10861,21226,21341,equally justified trial court would recording order found defence case probable,analysis
15572,13666,13753,case thereafter listed prosecution evidence th april,analysis
24790,12182,12375,relevant portion said judgment quoted ready reference conclusion substantial quantum international trade transactions depends upon fair vs,analysis
27495,2586,2696,along provision section ib also introduced first time finance act,analysis
20917,15095,15265,even minor taken distance yards would amount taking keeping lawful guardian within meaning offence kidnap,analysis
15974,13683,14004,seeing registrar judicial district judge serving deputation supreme court recourse assistance form collecting evidence arriving finding regarding claim juvenility person concerned may undertaken court order save judicial time,analysis
14059,4892,5074,learned counsel appearing petitioner submitted accused already bail hence ground parity petitioner also entitled bail,analysis
22275,15132,15256,police officer bother record statement residents staying houses adjoining cattle pond,analysis
14139,11078,11375,appeal decision high court said bypassed decision high court related correctness decision tribunal question limitation question sought raised indirect way present appeal,analysis
9962,10277,10431,virtually means stereo type statements repeated assessing officer considering case hand respect sub contractors,analysis
27707,1387,1473,answers points point affirmative,analysis
7852,15885,15978,tried play safe expressing ignorance appreciated court,analysis
14184,16114,16468,shares registered follows shares registered name assessee company shares name national construction development corporation ltd balance names nominees jaswant sugar mills ltd meant largely persons belonging 'yodh raj bhalla group ',analysis
15308,20881,20955,veneer thin layer sheet wood uniform thickness,analysis
11170,6364,6506,appreciation entire evidence record seen seizure mo instance accused proved beyond reasonable doubt,analysis
757,11578,11864,reason set charges length counsel appellants argued prosecution case two separate assemblies one twenty five persons beat six specific persons another eleven kill three groups,analysis
978,20287,20772,prima facie delivery goods buyer passing risk respect goods seller buyer strong indications passing also property goods buyer decisive may negatived section seller may yet reserve right disposal goods fulfilment certain conditions thereby prevent passing property goods buyer,analysis
17159,15090,15128,hence issue affirmative,analysis
8261,12516,12548,society open savings,analysis
13012,9107,9271,admittedly notice amount less lakh rupees admittedly central board revenue considered matter,analysis
28239,21956,22120,however evidence pw introduced accused prabha accused jopady two persons along accused stabbed deceased knives,analysis
25329,24173,24479,though cross examination elicited earlier incident complainant pw knowing accused accused persons good terms complainant regard feeding water channel agricultural lands complainant,analysis
2741,27361,27484,thereafter bottle carried poured acid head face chest also entire body save life,analysis
10576,7963,8252,p w p w stated time getting information incident rourkela getting information p w along p w another sister gulabi badaik proceeded spot birmitrapur arrival p w narrated incident,analysis
16992,14336,14440,document goes beyond section regarded valid purpose registration,analysis
5677,8507,8574,version eyewitnesses completely belies defence story,analysis
21964,19056,19265,business point view fair appreciation whole situation assessee considered development roads question could greatly facilitate transportation sugarcane,analysis
12870,11072,11226,fact nothing brought deposi tion beyond remark mst rajji quarrel bania settled,analysis
15223,2344,2394,marine plywood aircraft plywood,analysis
17472,18481,18528,started p village mujawad,analysis
4648,17089,17227,person unsound mind person suffering mental disorder said possess basic norm human behavior,analysis
6651,25791,25933,duty accused give nutritious food proper education care protection develop victim member better society,analysis
8617,17706,17774,merely method collection tax due firm,analysis
8322,27386,27625,pointed court case examined applicability provisions definition co operative bank per part v banking regulation act reading explanation section p,analysis
10845,17577,17714,stated next breath beating one side others beating side cot,analysis
25575,27900,27994,place offence distance kms office mangalore,analysis
6227,26810,26915,would case direct nexus facts found conclusion drawn therefrom,analysis
1574,10948,11227,penalty proceedings u aa u ba g act non compliance provisions section c e act respect stated international transaction ae 's separately initiated intimated ao case may,analysis
9440,29346,29870,apex court held view minimum sentence prescribed sections act prevention corruption act provisions section thereof fact unlike provisions contained section proviso old act act carry power enable court show leniency minimum sentence stipulated held high court committed grave error law extending benefit probation even criminal procedure code,analysis
21784,6531,6657,witness admittedly stated cross examination produced seized articles court,analysis
25759,16460,16581,words final decree proceedings initiated defendant decree obtained possession,analysis
27652,9243,9372,stated date occurrence received information dead body deceased lying near spot,analysis
25477,16725,16955,cross examination advocate accused pw denied suggestion accused present spot come spot motorcycle accused present vehicle,analysis
4286,19668,19699,right lung left lung congested,analysis
24136,15855,16085,tribunal reduced penalty one half times tax opinion purposes levying penalty rate tax taken would applicable offence committed,analysis
18790,11319,11394,thereupon bhaba nanda caught hold hands shashi mohan behind,analysis
27520,7110,7172,question decided favour assessees,analysis
10629,16368,16464,p w independent occurrence witness case resiled previous statement,analysis
2366,25419,25751,removal staples reflection shows extravasation blood contusion x cm present top right shoulder pw opined mentioned injuries antimortem nature deposed evidence dissection found following internal injuries scalp described,analysis
25465,15479,15675,cross examination advocate accused p w deposed prior incident knowing accused laxman poojary working venoor p earlier,analysis
12405,9814,9941,defect charge matter taken note unless defect seriously prejudices interest accused,analysis
7559,26212,26422,thus arrive third ground e non application mind special judge order disclosing satisfaction existence prima facie case issue summons accused,analysis
28633,7913,8044,fact seized article recovered exclusive conscious possession accused person became doubtful,analysis
8330,28882,29042,part v banking regulation act co operative bank means state co operative bank central co operative bank primary co operative bank,analysis
2251,7605,7611,pw,analysis
4343,25861,25958,total absence shout cries except one heard way f strangulation pw,analysis
26005,21506,21623,behalf defence submitted pw sudhakar attend funeral deceased sunanda,analysis
15071,4111,4302,appears evidence adduced though spot seizure house accused independent witness examined prosecution prove fact seizure,analysis
10610,13183,13338,p w deposed evidence prepared injury report marked ext reveals injury sustained p w neck cheek,analysis
26393,18019,18156,high court therefore fully justified ignoring discrepancies dealing evidence four eye witnesses,analysis
28296,30974,31092,similarly section indian penal code punitive section offence rioting armed deadly weapon,analysis
2265,8293,8372,dr anil sangli treated injured initial stage aravinda hospital,analysis
12399,9019,9073,delay days reporting police,analysis
5350,25825,25954,unless therefore explanation supported proof presumption created provision said rebutted,analysis
17533,23451,23491,fracture thyroid cartilage present,analysis
27813,6507,6682,petitioners detained custody till conclusion trial may come contact hardened criminals may turn hardcore criminals future,analysis
969,18332,18423,argument however overlooks important word unconditionally used section,analysis
19141,22362,22549,section code criminal procedure whenever sessions judge accused sentenced death send finding high court way reference,analysis
7360,5357,5436,expression “ magistrate ” defined customs act,analysis
18091,36260,36514,railway authorities agreed shift railway establishment facilitate assessee carry business profitable manner purposes assessee paid sum rs lakhs towards cost shifting railway construction,analysis
6362,3857,3985,p w independent seizure witness evidence support version p w respect factum seizure,analysis
26366,12043,12435,even proceed basis prosecution failed prove genesis motive finding trial court regard unexceptionable still appeal succeed score proof motive essential success prosecution case instant case ocular testimony support convincing reliable,analysis
7019,11088,11261,matter therefore seen light law laid court regards general application confession co accused accused,analysis
28972,19531,19721,therefore witness legally bound answer question relevant matter issue even answer question likely criminate directly indirectly,analysis
12419,11417,11522,returning house disclose father members family,analysis
16485,22817,22853,submission also merit,analysis
2358,24152,24231,relatives wanted take patient nimhans hospital treatment,analysis
25503,20413,20507,p said spot one white maruti omni van came followed bike,analysis
22232,9271,9343,fourthly mention use condom p w evidence,analysis
18236,25964,26447,combined reading proviso subsection section act clause b sub section section jb act would show case insurance banking companies companies engaged generation supply electricity class companies financial statement specified act governing company requirement preparing statement accounts terms provisions companies act made,analysis
23089,6134,6209,independent seizure witness support factum seizure,analysis
27740,4769,4973,apprehension prosecution petitioner going abscond prolong investigation possibility tampering prosecution witnesses safeguarded imposing suitable conditions,analysis
9649,21948,22136,entire expenditure would allowed amendment introduced section restricts allowance expenditure maximum limit rs,analysis
4345,25965,26004,blood heart found clotted,analysis
11370,22381,22533,departure golden rule construction impermissible unless something context warrants deviation avoid absurdity,analysis
21459,18900,19089,fundamental rights citizen enshrined part iii constitution india stand higher pedestal vis vis statutory right rights conferred general law,analysis
17681,37185,37211,usha died homicidal death,analysis
16491,23551,23597,therefore submission sustainable,analysis
7272,5629,5756,words conclusion arrived tpo based two three grounds one blt,analysis
26252,25604,25768,reverting case hand court finds itat held impugned order contrary settled law explained decisions,analysis
11999,9721,9886,petitioner left house respondent respondents family came know relationship petitioner respondent,analysis
11430,31494,31510,advocate general,analysis
13683,30039,30125,according defendants came executed year,analysis
12543,8698,8949,tribunal held assault question treated purely private matter raghavan augustine appellant concerned result standing order viii invoked raghavan,analysis
28522,7656,7946,circumstances completing chain accused devi lal given clarification regard fact information devi lal come babu lal indicated diary recovered accused devi lal section evidence act,analysis
17882,12971,13105,main ground denying input tax credit vat returns filed selling dealers traceable efs,analysis
19671,12513,12705,evidence pw laxman pw sonaji disclosed fateful night morning deceased nanda lying unconscious inside house accused beside,analysis
17168,16467,16498,thereafter filed suit,analysis
15576,14104,14251,one stage th august learned special judge noticed till date prosecution witnesses examined,analysis
24526,33040,33206,time investigating agencies evolve new scientific investigating methods taking aid rapid scientific development field investigation,analysis
17614,29634,29767,sent natural handwriting wall photographs handwriting expert alongwith handwriting accused deceased usha,analysis
13687,30397,30511,ex p makes clear plaintiffs produced original sale deed said court,analysis
20304,26249,26443,finding divisional commissioner gulbarga appellant committed breaches erroneous competent record finding pass order cancelling sale,analysis
22271,14291,14460,present case examinationinchief p w without reading crossexamination gives strong impression act sex consent,analysis
28532,9705,9809,jeep shambhu hired babulal february th use evening th going village dhikiya,analysis
17675,36365,36598,case accused usha committed suicide least expected harischandra accused explained disclosed manner committed suicide house,analysis
10958,13202,13321,words henceforth appeals filed reference tax effect relevant assessment year,analysis
26852,33636,33826,college habitually indulging foul play clear course events faculty members found working elsewhere running hospitals,analysis
262,20325,20800,also contended fir registered persons investigating officer given accused viz accused nos shivappa chanabasappa udakeri accused raju siddalingappa konnanavar accused siddalingappa appanna konnanavar mentioned fir filed charge sheet adding three persons viz accused shankreppa chanabasappa udkeri accused gowrawwa nagappa udkeri accused nagappa chanabasappa udkeri,analysis
7718,20969,21295,thereafter exercise power conferred rule central board direct taxes regulation transaction business rules chairman approval central government distributed business board member keeping assessment work income tax,analysis
9511,6793,6998,therefore without corroborative evidence complainant independent eye witnesses punch witnesses evidence excise official witnesses taken consideration convict accused,analysis
12417,11313,11373,accused ran away seeing three people coming,analysis
7277,6678,6907,onus revenue show existence arrangement agreement basis could inferred amp expense incurred assessee benefit benefit ae,analysis
12867,10576,10763,statement made accused examination code criminal procedure support therefore sought contrary story evidence jhallu,analysis
17493,19888,20006,though suggestion given defence never visited house accused denied said suggestion,analysis
15226,2553,2635,cuttings trimmings plywood width exceeding centimeters nil,analysis
1973,19239,19397,appellants accused given explanation statements section code criminal procedure appears probable,analysis
266,21121,21215,accused siddappa accused sidlingappa children accused nos,analysis
12557,11732,11804,according charge acts highly subversive discipline,analysis
19710,16691,16809,even person committed offence case falls u exception section ipc guilty,analysis
7983,17963,18086,thus though result far assessment concerned grounds decision entirely different,analysis
11442,33726,33845,thus retention collected tax levy exempted amount unjust enrichment exhibitors,analysis
10219,14755,14954,order show complainant sufficient funds bank account accused apart examining got examined three witnesses side dw dw dw,analysis
10571,7163,7368,getting information reached house found accused santanu 's mother two sister pima annu abusing wife saying 'vyasia ' arrival left spot,analysis
24909,2967,3080,hand defence neither examined witnesses marked documents exhibits behalf,analysis
19294,16142,16236,said companies would 'have taxed rates prescribed bv relevant finance act,analysis
15018,21221,21296,thereafter fallen ground face towards ground,analysis
1662,30402,30521,instruction dated following clarification made ii role transfer pricing officer,analysis
25720,10885,11219,defendant contended plaintiff executing ex received rs father releasing rights suit property hence father executed ex ' exclusively favour hence plaintiff would share much less rights suit schedule property,analysis
133,6378,6384,centre,analysis
25476,16644,16724,police officials unaware identity accused,analysis
10229,16627,16843,even suggested pw cross examination except three bank accounts respect dw dw dw examined complainant accounts banks,analysis
12152,12775,12862,admitted fact pw none son deceased accused,analysis
6174,16581,16869,present two appeals stated earlier relate finding high court material tribunal hold sum rs fixed deposit name biswanath concealed income respondent relevant previous year,analysis
6287,3221,3244,manguru ganju p w,analysis
14529,7227,7301,learnt rd defendant also sold attached properties,analysis
6290,3335,3406,identified signature property seizure memo vide ext,analysis
11866,17265,17426,subsisting relationship garnishee assessee department treating garnishee assessee default arise,analysis
10500,11732,12049,context learned counsel argues words interpreted make punishable taking gratification public servant way connection official functions argues subordinate section interpreted suggested,analysis
17877,11838,12214,thus categorically admitted respect selling dealer nos assessee entitled input tax credit regards selling dealer concerned assessee filed income tax returns filed said dealer along bank statements prima facie shows selling dealer remitted collected tax assessee,analysis
7041,16130,16233,indeed come within definition evidence contained section evidence act,analysis
2198,29082,29203,right private defence extend infliction harm necessary purpose defence,analysis
1684,33971,34253,legislature expanding scope transfer pricing study tpo transaction referred reported assessing officer sub section b section ca confined applicability thereof international transactions,analysis
23240,10062,10264,high court appears gone oral evidence joginder singh pw harbhajan singh pw contraband allegedly seized accused produced magistrate,analysis
3302,10842,11000,clearly therefore earlier submissions made effect impugned order dated th april received th july incorrect,analysis
20566,21859,22037,already discussed prosecution able establish beyond doubt deceased staying house accused persons last days life,analysis
771,14300,14311,para,analysis
8521,17563,17838,light aforesaid decisions observations made keeping mind instruction issued cbdt guidance respondent authority correctness legality impugned order would considered,analysis
19158,25657,25823,preparation committing offence terror outfit criminals psychopaths also aspects seriously considered case hand,analysis
25262,13529,13608,therefore rightly dismissed said private complaint maintainable,analysis
16503,25955,26180,already stated herein accused convicted courts finding offences charged proved eye witnesses beyond reasonable doubt,analysis
10072,12287,12541,however instances criminal law reverse onus placed accused regard specific offences another matter detract fundamental postulate respect offences,analysis
7987,18427,18597,possible question law may involve different approaches solution high court may amplify question take approaches,analysis
18080,34093,34537,instant case assessee granted mining lease respect square miles jamsar right sink dig drive quarry extract mineral e gypsum process right dig surface entire money licence fee charges securing right mining respect entire area square miles including right miner als railway area,analysis
24763,7776,7981,given following findings revenue regard various issues raised regard transfer pricing ' transfer pricing adjustments ' made concerned authorities,analysis
2000,22891,23138,though investigating officer stated evidence made efforts collect natural handwriting deceased could explained steps taken get natural handwriting deceased,analysis
15284,16034,16220,isi glossary terms defines laminated wood block board separately indicate block board included definition laminated wood purpose isi,analysis
8127,8988,9207,shall bounden duty district administration ensure fire arms deposited administration returned licence holders immediately one week declaration results,analysis
24151,18763,18901,normal rate paid goods without making false representation offence section b would committed,analysis
5142,26861,26973,matter reported district judge mr k k gujral district judge dealt,analysis
27546,14429,14483,c deduction claimed section c,analysis
2289,12402,12551,pw shwetha daughterinlaw accused eyewitness alleged incident tied lungi cloth deceased shivamma,analysis
25443,13319,13406,thereafter p reached near moodukodi village belthangady taluk,analysis
20476,5667,5839,f r marked ext filed none father deceased appears learnt death deceased,analysis
11724,12136,12406,effort distinguish aforesaid decision submitted mr ramachandran section act development rebate deducted total income assessee component ingredient determining profits gains,analysis
11033,6281,6542,course assessment proceedings assessment years assessee claimed depreciation value building rate per cent also claimed depreciation furniture rate per cent,analysis
6353,2631,2703,pw cited independent seizure witness alleged occurrence,analysis
13142,11898,12052,application mind turn best demonstrated disclosure mind best done giving reasons view authority taking,analysis
17432,15191,15255,prosecution examined pw jaiwant jagtap,analysis
21067,14838,15112,thus clear preponderance judicial opinion issue co operative societies carrying banking business pays interest members deposits need deduct tax source view provisions sec v act,analysis
17287,4612,4787,hence concluded prosecution failed prove factum seizure exclusive conscious possession accused beyond reasonable doubts,analysis
12495,20420,20496,find facility made available accused jail,analysis
20987,5703,6072,pointed supplementary charge sheet additional accused including petitioner sought prosecuted indicated names trial sought offence section read section ipc focusing case prosecution said supplementary charge sheet,analysis
1991,21773,21995,far charge section read section indian penal code concerned conviction mainly based letters produced parents deceased investigating officer,analysis
3985,27225,27305,turn cases relied upon mrs v mohana learned senior advocate,analysis
24870,15409,15982,income tax officer said attempt made assessee furnish reasonable proof source addi tional wealth partition deed produced books account prior withheld plea books lost evidence tendered show fatherin law manager possessed sufficient means give give large cash amounts also explanation large amount exceeding lakh rupees invested money lending business,analysis
9501,5127,5142,pw,analysis
18603,16336,16449,judgments relied upon learned senior advocate applicable facts present case,analysis
21053,11236,11509,provisions clause viia said sub section applicable case non member depositor co operative bank shall receive interest deposits time deposits made st july without tds section,analysis
28074,33244,33509,light evidence pw secretary grama panchayat given alleged revenue documents per ex p show alleged place offence stands name pw would take case prosecution,analysis
